skill,num,meansal,cumul,id
Cardiopulmonary Resuscitation (CPR),466,36787.45641025641,57.50702639720991,specialized
Calipers,463,39446.82537313433,57.62852861600313,specialized
Furniture Moving,460,31497.860962566843,57.74924356340028,specialized
Plumbing Systems,457,40448.39574468085,57.86917123940136,specialized
Dollies,456,28948.69074889868,57.98883649160375,specialized
Preparing Proposals,454,71513.50806451614,58.10797689620876,specialized
Employee Training,451,48253.81507936508,58.22633002941771,specialized
5S Methodology,449,38735.948936170214,58.344158315029276,specialized
Material Handling Equipment,448,31655.998333333333,58.46172417684215,specialized
Market Research,445,69773.77043010753,58.57850276725896,specialized
Chemistry,444,48189.01904761905,58.69501893387707,specialized
Fiber Optics,444,47388.5011235955,58.81153510049519,specialized
Hoisting Equipment,444,36763.852884615386,58.92805126711331,specialized
Printers,443,40270.88648648649,59.04430500993274,specialized
SQL,441,87594.85063291139,59.16003390515479,specialized
Administrative Functions,438,44129.44011299435,59.274975528980775,specialized
Mechanical Engineering,431,58709.532352941176,59.38808018621593,specialized
Welding Equipment,430,45464.75643564356,59.50092241965239,specialized
Performance Management,427,73613.79722222222,59.612977381692794,specialized
Data Collection,425,49869.49798657718,59.72450749613581,specialized
Linux,421,66946.86216216216,59.83498791538407,specialized
Oscilloscopes,417,49393.12167832168,59.94441863943757,specialized
Machine Tools,414,44501.23409090909,60.05306209209501,specialized
Geometry,413,45182.48351648352,60.161443120953756,specialized
Software Development,409,76914.37096774194,60.26877445461774,specialized
Oracle,406,57910.20649350649,60.375318516885656,specialized
Hardware and Software Installation,405,46947.30297029703,60.48160015535489,specialized
Federal Government Contracting,404,108791.0353488372,60.58761937002543,specialized
Shielded Metal Arc Welding (SMAW),404,60270.45737704918,60.69363858469597,specialized
Chain Saws,403,32838.43208722741,60.79939537556782,specialized
Manufacturing Processes,400,48412.67578947369,60.9043648950436,specialized
Drill Presses,395,42586.73409090909,61.00802229552594,specialized
Business Acumen,387,112667.36734693877,61.109580305618756,specialized
Information Technology Industry Knowledge,382,77768.2078125,61.209826196718126,specialized
Masonry,382,39179.6894117647,61.3100720878175,specialized
Conflict Management,379,62945.98333333333,61.4095307075208,specialized
Equipment Inspection,373,44117.81809523809,61.50741478443197,specialized
Business Process,371,75047.56056338028,61.60477401374576,specialized
Warehouse Operations,369,29360.6693877551,61.701608395462166,specialized
Rehabilitation,367,38588.00807453416,61.797917929581196,specialized
Store Management,367,29851.498630136986,61.894227463700226,specialized
International Traffic in Arms Regulations (ITAR),364,61422.72727272727,61.98974972642319,specialized
Equipment Cleaning,363,39712.84927536232,62.08500956534746,specialized
System Operation,360,45979.95245901639,62.17948213287567,specialized
Data Analysis,357,70743.21224489796,62.2731674290078,specialized
Change Management,356,72739.24590163934,62.36659030134125,specialized
Key Performance Indicators (KPIs),356,60775.06172839506,62.460013173674696,specialized
Production Management,355,44597.929824561405,62.55317362220945,specialized
Supply Chain Knowledge,352,53113.850746268654,62.64554679934814,specialized
Request for Quotation (RFQ),346,62718.55714285714,62.736345433694694,specialized
Technical Drawings,346,47047.912280701756,62.82714406804124,specialized
Customer Acquisition,345,111147.575,62.9176802785891,specialized
Robotics,340,51172.645333333334,63.006904370143516,specialized
Troubleshooting Technical Issues,340,54108.570149253734,63.09612846169794,specialized
Nondestructive Testing (NDT),338,50613.710169491525,63.18482770565497,specialized
Training Materials,337,53644.44489795918,63.27326452581332,specialized
Asset Management Industry Knowledge,336,57051.61923076923,63.36143892217297,specialized
General Office Duties,336,37365.56842105263,63.449613318532634,specialized
Price Negotiation,336,63575.171111111114,63.53778771489229,specialized
Construction Management,334,57574.075,63.62543726365457,specialized
Shipment Sorting,330,31269.217391304348,63.71203711722209,specialized
Maintenance Scheduling,329,45791.84470588235,63.79837454699092,specialized
Automotive Services Industry Knowledge,328,46939.04415584415,63.88444955296106,specialized
Customer Checkout,326,39541.52578125,63.96999971133382,specialized
Microsoft Visio,324,70375.96666666666,64.0550250221092,specialized
Strategic Planning,323,113070.50531914894,64.1397879090859,specialized
Legal Compliance,320,53466.72972972973,64.22376352466652,specialized
Cooking,318,25356.8,64.30721429264977,specialized
Automation Systems,312,51473.802298850576,64.38909051784088,specialized
Invoicing,312,56448.19117647059,64.470966743032,specialized
Engineering Documentation,311,60422.90185185185,64.55258054442442,specialized
Power Distribution,311,47750.8225,64.63419434581684,specialized
Root Cause Analysis,310,49078.965853658534,64.71554572341057,specialized
Asset Protection,309,28301.866666666665,64.7966346772056,specialized
Physics,309,63237.86486486487,64.87772363100065,specialized
Transformers,309,42299.26315789473,64.9588125847957,specialized
Adobe Acrobat,307,58024.212345679014,65.03937669099335,specialized
Energy Management,307,52563.10555555556,65.11994079719102,specialized
Good Manufacturing Practices (GMP),306,36032.346268656715,65.20024247958999,specialized
Material Safety Data Sheets (MSDS),305,33706.69368421053,65.28028173819027,specialized
ITIL,304,75189.43125,65.36005857299186,specialized
Water Treatment,302,45326.75615384615,65.43931056019608,specialized
Disaster Response,300,36511.95698924731,65.51803769980292,specialized
Commissioning,298,52455.59464285714,65.59623999181238,specialized
Cisco,297,59237.14230769231,65.67417986002314,specialized
Site Surveys,297,40208.605633802814,65.75211972823391,specialized
Calculator,295,40101.234375,65.82953474884731,specialized
Engineering Design and Installation,295,58935.42054794521,65.9069497694607,specialized
Building Codes,294,47495.54772727273,65.9841023662754,specialized
Financial Management,293,71730.11683168318,66.0609925392914,specialized
Onboarding,293,59950.780952380956,66.13788271230742,specialized
Fire Protection,292,46390.18955223881,66.21451046152474,specialized
Algebra,291,42919.68524590164,66.29087578694336,specialized
Caulking,291,33022.3696969697,66.367241112362,specialized
Engineering Support,290,60244.40943396226,66.44334401398194,specialized
Routers,290,47469.08045977011,66.51944691560188,specialized
Pre Trip Inspections,289,32530.533898305086,66.59528739342313,specialized
Data Management,288,57864.938095238096,66.67086544744569,specialized
Mechanical Maintenance,284,45114.5670886076,66.7453938062735,specialized
Engine Repair,283,35745.60731707317,66.81965974130262,specialized
Inventory System,283,34995.162637362635,66.89392567633173,specialized
Conveyor Systems,282,37285.28085106383,66.96792918756216,specialized
Java,282,95637.36842105263,67.04193269879259,specialized
Python,282,90964.85263157895,67.11593621002301,specialized
Business Management,281,75777.08217821782,67.18967729745475,specialized
Electrical Experience,281,37002.12869565217,67.26341838488649,specialized
Configuration Management,280,65615.13023255813,67.33689704851953,specialized
Electrical Engineering,279,53693.04788732394,67.4101132883539,specialized
Lockout / Tagout (LOTO),279,48496.13684210526,67.48332952818825,specialized
Hammering,277,31445.59775280899,67.55602092042523,specialized
Service Level Agreement,275,71480.61333333333,67.62818746506483,specialized
Engineering Design,274,59510.34852941176,67.70009158590574,specialized
Programmable Logic Controller (PLC) Programming,271,49963.98173913043,67.77120843535059,specialized
Microsoft Operating Systems,269,49496.36363636364,67.84180043719805,specialized
Computerized Maintenance Management System (CMMS),267,49967.18714285715,67.91186759144813,specialized
Procurement System,266,58622.389285714286,67.98167232189952,specialized
Hardware and Software Configuration,263,60254.21379310345,68.05068978095485,specialized
Revit,263,55790.44102564103,68.11970724001019,specialized
Screwdrivers,263,35156.785542168676,68.1887246990655,specialized
New Hire Orientation,262,30816.44516129032,68.25747973432215,specialized
Civil Engineering,261,57949.72608695652,68.32597234578009,specialized
UNIX,259,82622.86956521739,68.39394010964067,specialized
Water Heaters,258,36782.17,68.46164544970254,specialized
Lean Manufacturing,256,49395.875,68.52882594216705,specialized
3D Modeling / Design,255,62328.11636363636,68.59574401083286,specialized
System Design,254,69453.4465116279,68.66239965569997,specialized
HAZMAT,253,36408.72790697675,68.72879287676841,specialized
Inspection Records,249,35358.62456140351,68.79413640264208,specialized
Product Inspection,248,31423.346666666668,68.85921750471707,specialized
Stakeholder Management,248,75436.39565217392,68.92429860679205,specialized
Systems Integration,248,68162.4262295082,68.98937970886703,specialized
Mailing,247,31084.381538461537,69.05419838714333,specialized
Expediting Orders,246,43912.778947368424,69.11875464162094,specialized
Power Supplies,246,49441.46382978724,69.18331089609855,specialized
Purchase Requisitions Processing,245,52407.42564102564,69.24760472677747,specialized
Store Operations,245,34229.62962962963,69.31189855745637,specialized
Drywall Repair,243,34499.89677419355,69.37566754053792,specialized
Electrical Wiring,243,36514.672093023255,69.43943652361945,specialized
Inventory Monitoring,243,40836.36382978723,69.503205506701,specialized
Refunds Exchanges and Adjustments,241,37043.211764705884,69.56644964218515,specialized
SolidWorks,241,48314.97142857143,69.6296937776693,specialized
Risk Management,239,67553.1,69.6924130655561,specialized
ServiceNow,238,102456.78571428571,69.75486992964417,specialized
Financial Reporting,237,67210.96235294118,69.81706436993358,specialized
Auto Repair,236,42997.13888888889,69.87899638642429,specialized
Delivery Unload and Breakdown,236,24944.92121212121,69.940928402915,specialized
Patient Care,234,45583.310843373496,70.00233557180833,specialized
Weighing,232,21397.44761904762,70.0632178931043,specialized
Amazon Web Services (AWS),230,87209.5625,70.12357536680287,specialized
Six Sigma,230,64743.96326530612,70.18393284050144,specialized
trigonometry,230,47472.59,70.24429031420001,specialized
Hardware Experience,228,52992.3,70.30412294030121,specialized
Network Troubleshooting,228,54074.440625,70.36395556640241,specialized
Bill of Materials,227,45052.269230769234,70.4235257687049,specialized
Engineering Specifications,227,43690.76851851852,70.48309597100742,specialized
System Administration,227,65468.41395348837,70.54266617330993,specialized
Gas-metal Arc Welding (GMAW),224,55856.385294117645,70.60144910421636,specialized
Fleet Preventive Maintenance,223,44041.3825,70.65996961132412,specialized
Guest Services,223,26490.273684210526,70.71849011843186,specialized
ISO 9001 Standards,223,48003.63265306123,70.7770106255396,specialized
System/Network Configuration,223,63194.75769230769,70.83553113264736,specialized
Contract Interpretation,221,67901.18541666666,70.89352679215773,specialized
Product Development,221,60369.62553191489,70.9515224516681,specialized
Hazardous Waste,220,36136.60666666667,71.00925568737978,specialized
Network Engineering,215,67043.9625,71.065676804098,specialized
Remodeling,215,41085.295774647886,71.12209792081624,specialized
